Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Reuben Triple S,Beef and Veal,Beef and Veal Dishes,214,893,7.7,2.7,35,818,20.5,3.3,5.1,15.4,311,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Reuben-Triple-S_Y2lkPTImc2lkPTE0JnJpZD0yOTM.html
"
Southwest Marinated Beef Steak with Grilled Peppers,Beef and Veal,Beef and Veal Dishes,184,771,4.1,1.4,53,292,9.1,1.1,6.1,27.1,39,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Southwest-Marinated-Beef-Steak-with-Grilled-Peppers_Y2lkPTImc2lkPTE0JnJpZD05NTU.html
"
Southwestern Beef Stew,"Soup, Stew and Chili","Warm Soup, Stew and Chili",292,1219,7.5,2.1,50,611,27.3,5.5,4.9,30.3,97,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Southwestern-Beef-Stew_Y2lkPTImc2lkPTE0JnJpZD0xMDIz.html
"
Spaghetti Bolognaise,Beef and Veal,Beef and Veal Dishes,495,2060,14,5,80,296,59,5,8,34,46,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Spaghetti-Bolognaise_Y2lkPTImc2lkPTE0JnJpZD0xNzk.html
"
Stuffed Zucchini,Beef and Veal,Beef and Veal Dishes,108,452,5,1.9,25,79,7.2,2.3,3.7,9.9,35,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Stuffed-Zucchini_Y2lkPTImc2lkPTE0JnJpZD0yMA.html
"
Super Bowl Meatloaf,Beef and Veal,Beef and Veal Dishes,220,921,7,1.5,60,670,22,3,7.3,19,32,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Super-Bowl-Meatloaf_Y2lkPTImc2lkPTE0JnJpZD05Mzk.html
"
Sweet Chili Beef,Beef and Veal,Beef and Veal Dishes,329,1374,9.4,2.3,53,229,28.7,1.2,4.6,27.2,58,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Sweet-Chili-Beef_Y2lkPTImc2lkPTE0JnJpZD0xNzU.html
"
Tenderloin with Portabello Sauce,Beef and Veal,Beef and Veal Dishes,234,980,9.6,3.7,74,141,10,0,0.6,27,14,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Tenderloin-with-Portabello-Sauce_Y2lkPTImc2lkPTE0JnJpZD01MDM.html
"
Tournedos,Beef and Veal,Beef and Veal Dishes,361,1511,13.4,3.7,76,411,17,2.6,7,41.6,58,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Tournedos_Y2lkPTImc2lkPTE0JnJpZD0yMg.html
"
Warm Beef and Pasta Salad,Beef and Veal,Beef and Veal Dishes,409,1712,9.3,2,60,125,52,3,12,31,33,"https://www.calorieking.com/recipes/Beef-and-Veal/Beef-and-Veal-Dishes/Warm-Beef-and-Pasta-Salad_Y2lkPTImc2lkPTE0JnJpZD0xNzc.html
"
Apricot Yogurt Smoothie,Beverages,Dairy-Based Drinks,136,566,2,1.2,7,94,23.3,1.4,21.2,6.9,244,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Apricot-Yogurt-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9MjEx.html
"
Avocado Blueberry Smoothie,Beverages,Dairy-Based Drinks,154,644,5.2,0.7,0,35,25,3.3,20.3,2.8,57,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Avocado-Blueberry-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9OTY0.html
"
Avocado and Melon Breakfast Smoothie,Beverages,Dairy-Based Drinks,149,624,5.5,0.9,3,85,20.2,2.7,16.5,6.5,208,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Avocado-and-Melon-Breakfast-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9OTg2.html
"
Banana Mocha Blend,Desserts,Cold Desserts,212,887,2.9,1.7,7,99,42.4,5.2,17.1,8.9,257,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Banana-Mocha-Blend_Y2lkPTE0JnNpZD00NiZyaWQ9ODcx.html
"
Banana and Prune Yogurt Smoothie,Beverages,Dairy-Based Drinks,195,816,1,0.1,5,143,38,2.6,29,11,391,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Banana-and-Prune-Yogurt-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9MTMz.html
"
Bananas for Coffee Smoothie,Beverages,Dairy-Based Drinks,120,500,1.5,0.9,6,55,23.8,2.5,15.5,5,163,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Bananas-for-Coffee-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9NTU3.html
"
Breakfast Smoothie,Beverages,Dairy-Based Drinks,203,847,3.5,0.6,5,161,29.1,3.1,25,13.1,426,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Breakfast-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9ODkz.html
"
Chai Latte,Beverages,Dairy-Based Drinks,49,206,0.4,0.2,2,66,7.9,0.1,7.8,4.4,160,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Chai-Latte_Y2lkPTE0JnNpZD00NiZyaWQ9NDAw.html
"
Cherry Berry Smoothie,Beverages,Dairy-Based Drinks,146,608,1.8,0.8,5,58,28.4,1.2,22.4,4.5,147,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Cherry-Berry-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9ODky.html
"
Cherry and Pear Smoothie,Beverages,Dairy-Based Drinks,172,716,1.6,0.9,5,58,37.7,5.7,27.4,5.4,167,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Cherry-and-Pear-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9MTAyOA.html
"
Chocolate Monkey Peanut Shake,Desserts,Cold Desserts,264,1103,8.4,1.8,0,209,38.2,4.1,23.8,11.1,262,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Chocolate-Monkey-Peanut-Shake_Y2lkPTE0JnNpZD00NiZyaWQ9ODk3.html
"
Chocolate Peanut Butter Banana Milkshake,Beverages,Dairy-Based Drinks,325,1361,11.5,3.4,14,207,46,3,34.6,11.4,248,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Chocolate-Peanut-Butter-Banana-Milkshake_Y2lkPTE0JnNpZD00NiZyaWQ9NzQ1.html
"
Coffee Latte,Beverages,Dairy-Based Drinks,37,154,0.2,0.1,2,48,4.9,0,4.8,2.8,105,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Coffee-Latte_Y2lkPTE0JnNpZD00NiZyaWQ9Mzk4.html
"
Cranberry-Berry Smoothie,Beverages,Dairy-Based Drinks,247,1034,0.4,0,0,73,59.3,4.9,29,3.2,216,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Cranberry-Berry-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9NjQ2.html
"
Eggnog Wassail,Beverages,Dairy-Based Drinks,171,716,0.3,0,5,210,32,0.1,25,8,301,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Eggnog-Wassail_Y2lkPTE0JnNpZD00NiZyaWQ9NzU0.html
"
Frozen Yogurt Apricot Float,Desserts,Frozen Desserts,174,726,1.4,1,5,70,33.9,1.3,25,5.1,110,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Frozen-Yogurt-Apricot-Float_Y2lkPTE0JnNpZD00NiZyaWQ9ODk5.html
"
Grape Volcano Smoothie,Beverages,Dairy-Based Drinks,180,753,0.7,0.4,5,164,32,0.4,31.8,11.7,416,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Grape-Volcano-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9NDYx.html
"
Holiday Eggnog,Beverages,Dairy-Based Drinks,72,299,2.3,1.4,10,72,6.8,0,4.8,4.7,102,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Holiday-Eggnog_Y2lkPTE0JnNpZD00NiZyaWQ9NDQw.html
"
Irish Cream Iced Cappuccino,Beverages,Dairy-Based Drinks,135,565,3.2,0.7,4,104,20.9,1.8,16.6,7.6,244,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Irish-Cream-Iced-Cappuccino_Y2lkPTE0JnNpZD00NiZyaWQ9Nzc2.html
"
Mexican Style Cocoa,Beverages,Dairy-Based Drinks,153,639,0.5,0.3,4,310,30.9,1.3,24.6,6.7,232,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Mexican-Style-Cocoa_Y2lkPTE0JnNpZD00NiZyaWQ9OTc5.html
"
Peach-Amaretto Frappe,Beverages,Dairy-Based Drinks,152,636,1,0.4,5,129,27.2,2.4,25,10.2,325,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Peach-Amaretto-Frappe_Y2lkPTE0JnNpZD00NiZyaWQ9NzU4.html
"
Peanut Butter Banana Breakfast Shake,Beverages,Dairy-Based Drinks,258,1077,8.8,2.1,5,206,33.6,3.3,23.9,13.3,320,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Peanut-Butter-Banana-Breakfast-Shake_Y2lkPTE0JnNpZD00NiZyaWQ9MTAwMQ.html
"
Peppermint Eggnog,Beverages,Dairy-Based Drinks,122,509,0,0,4,210,20.5,0,13,7.9,296,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Peppermint-Eggnog_Y2lkPTE0JnNpZD00NiZyaWQ9ODI5.html
"
Pineapple Float,Beverages,Dairy-Based Drinks,179,750,0.2,0,5,74,44.1,5.4,23.7,4.7,124,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Pineapple-Float_Y2lkPTE0JnNpZD00NiZyaWQ9MzIz.html
"
Pumpkin Nog,Beverages,Dairy-Based Drinks,161,672,8.3,3.3,275,155,10.2,0.5,6.1,11.5,159,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Pumpkin-Nog_Y2lkPTE0JnNpZD00NiZyaWQ9MTAwOQ.html
"
Purple Cow,Beverages,Dairy-Based Drinks,88,368,1.2,0.8,4,82,15,0,13.6,4,159,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Purple-Cow_Y2lkPTE0JnNpZD00NiZyaWQ9NzM5.html
"
Spiced Chai Tea,Beverages,Non Dairy-Based Drinks,75,314,2,1.6,10,50,10,0,10,4,155,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Spiced-Chai-Tea_Y2lkPTE0JnNpZD00NiZyaWQ9NjY3.html
"
Spiced Hot Cocoa,Beverages,Dairy-Based Drinks,268,1119,11,1.3,7,118,31.6,1,30.6,7.7,256,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Spiced-Hot-Cocoa_Y2lkPTE0JnNpZD00NiZyaWQ9NjIx.html
"
Strawberry Banana Smoothie,Beverages,Dairy-Based Drinks,106,442,0.5,0.1,1,49,22.1,1.6,15.3,4.5,136,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Strawberry-Banana-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9Mjk3.html
"
Sunrise Power Blend,Beverages,Dairy-Based Drinks,380,1591,10,1,5,176,62,8,44.7,17,474,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Sunrise-Power-Blend_Y2lkPTE0JnNpZD00NiZyaWQ9NTMw.html
"
Tangy Mango Cooler,Beverages,Dairy-Based Drinks,152,635,0.7,0.4,2,106,30.7,1.9,25,7.7,271,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Tangy-Mango-Cooler_Y2lkPTE0JnNpZD00NiZyaWQ9ODU3.html
"
Tibetan Tea,Beverages,Dairy-Based Drinks,67,278,2.5,1.6,10,50,7,0.3,7,4.1,147,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Tibetan-Tea_Y2lkPTE0JnNpZD00NiZyaWQ9ODM3.html
"
Tropical Smoothie,Beverages,Dairy-Based Drinks,170,709,2.1,0.4,17,137,30.3,0.9,23.1,8.4,317,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Tropical-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9OTg.html
"
Vanilla Mochaccino,Beverages,Dairy-Based Drinks,129,537,1.1,0.6,5,136,20.1,0.9,18.6,9.6,325,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Vanilla-Mochaccino_Y2lkPTE0JnNpZD00NiZyaWQ9ODM2.html
"
Watermelon Smoothie,Beverages,Dairy-Based Drinks,100,417,1.2,0.6,4,46,20.1,0.7,17.8,4,119,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Watermelon-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9Mzgw.html
"
Watermelon Yogurt Mint Smoothie,Beverages,Dairy-Based Drinks,119,498,0.3,0.1,3,63,27.2,0.8,22.9,4.4,149,"https://www.calorieking.com/recipes/Beverages/Dairy-Based-Drinks/Watermelon-Yogurt-Mint-Smoothie_Y2lkPTE0JnNpZD00NiZyaWQ9OTAw.html
"
Apple and Fruit Frappe,Beverages,Non Dairy-Based Drinks,135,563,0,0,0,6,32.5,6,31,2,18,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Apple-and-Fruit-Frappe_Y2lkPTE0JnNpZD0zNiZyaWQ9NTg5.html
"
Banana Daiquiri,Beverages,Non Dairy-Based Drinks,188,787,2,0.6,0,11,44,3,27,2,19,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Banana-Daiquiri_Y2lkPTE0JnNpZD0zNiZyaWQ9MTAw.html
"
Blueberry and Apple Punch,Beverages,Non Dairy-Based Drinks,123,514,0.5,0,0,3,32.1,4.2,23.7,2.2,25,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Blueberry-and-Apple-Punch_Y2lkPTE0JnNpZD0zNiZyaWQ9MzU4.html
"
Cherry Citrus Spritzer,Beverages,Non Dairy-Based Drinks,78,327,0,0,0,18,19,2,20,1,20,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Cherry-Citrus-Spritzer_Y2lkPTE0JnNpZD0zNiZyaWQ9NTgw.html
"
Chocolate Almond Coffee,Beverages,Non Dairy-Based Drinks,19,80,1,0,0,5,3,0,0,1,5,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Chocolate-Almond-Coffee_Y2lkPTE0JnNpZD0zNiZyaWQ9NjUx.html
"
Cinnamint Green Tea,Beverages,Non Dairy-Based Drinks,29,121,0,0,0,4,7,0,6.7,0,4,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Cinnamint-Green-Tea_Y2lkPTE0JnNpZD0zNiZyaWQ9Njc4.html
"
Cranberry Spritzer,Beverages,Non Dairy-Based Drinks,86,359,0.1,0,0,17,21.4,0.2,20,0.7,12,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Cranberry-Spritzer_Y2lkPTE0JnNpZD0zNiZyaWQ9MTAwOA.html
"
Cranberry-Apple Iced Tea,Beverages,Non Dairy-Based Drinks,110,461,0,0,0,0,27.6,0,27.6,0,14,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Cranberry-Apple-Iced-Tea_Y2lkPTE0JnNpZD0zNiZyaWQ9MTAx.html
"
Eerie Witchs Brew,Beverages,Non Dairy-Based Drinks,125,523,0.2,0.1,0,2,32.8,0.8,27.6,0.5,14,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Eerie-Witch-s-Brew_Y2lkPTE0JnNpZD0zNiZyaWQ9NDE3.html
"
Energizing Mango and Banana Smoothie,Desserts,Cold Desserts,115,482,0.4,0.1,0,4,29.6,2.3,23.3,0.8,14,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Energizing-Mango-and-Banana-Smoothie_Y2lkPTE0JnNpZD0zNiZyaWQ9ODU2.html
"
Fruity Iced Tea,Beverages,Non Dairy-Based Drinks,47,197,0,0,0,3,12,0.4,8.7,0.3,4,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Fruity-Iced-Tea_Y2lkPTE0JnNpZD0zNiZyaWQ9NTU0.html
"
Ginger-Mint Cooler,Beverages,Non Dairy-Based Drinks,60,258,0.3,0,0,16,14,1.5,5.9,1.2,45,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Ginger-Mint-Cooler_Y2lkPTE0JnNpZD0zNiZyaWQ9MTAyNQ.html
"
Grape and Green Tea Antioxidant Smoothie,Beverages,Non Dairy-Based Drinks,180,754,1,0.1,0,8,46,2.5,24.9,1.4,23,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Grape-and-Green-Tea-Antioxidant-Smoothie_Y2lkPTE0JnNpZD0zNiZyaWQ9NzMy.html
"
Green Tea Slush with Apricot Nectar,Beverages,Non Dairy-Based Drinks,51,214,0,0,0,2,13,0.3,11,0,4,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Green-Tea-Slush-with-Apricot-Nectar_Y2lkPTE0JnNpZD0zNiZyaWQ9NTU2.html
"
Kiwi Klimax,Beverages,Non Dairy-Based Drinks,51,211,0.4,0,0,2,12.4,2,8.6,0.8,22,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Kiwi-Klimax_Y2lkPTE0JnNpZD0zNiZyaWQ9NzU5.html
"
Lemonade,Beverages,Non Dairy-Based Drinks,27,112,0,0,0,8,6.8,0,4,0.1,6,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Lemonade_Y2lkPTE0JnNpZD0zNiZyaWQ9NDIz.html
"
Mango Banana Soy Smoothie,Beverages,Non Dairy-Based Drinks,156,652,1.3,0.2,0,72,31,2.6,23.2,6.4,109,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Mango-Banana-Soy-Smoothie_Y2lkPTE0JnNpZD0zNiZyaWQ9OTY3.html
"
Mineral Cooler,Beverages,Non Dairy-Based Drinks,0,0,0,0,0,25,0,0,1,0,0,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Mineral-Cooler_Y2lkPTE0JnNpZD0zNiZyaWQ9OTc.html
"
Mint Iced Tea,Beverages,Non Dairy-Based Drinks,10,42,0,0,0,7,3,0,0.5,0,5,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Mint-Iced-Tea_Y2lkPTE0JnNpZD0zNiZyaWQ9Mjc2.html
"
Orange-Strawberry Smoothie,Beverages,Non Dairy-Based Drinks,95,396,0.5,0.1,0,7,21.8,1.4,16.2,1.7,29,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Orange-Strawberry-Smoothie_Y2lkPTE0JnNpZD0zNiZyaWQ9MzQ0.html
"
Pear Angel,Beverages,Non Dairy-Based Drinks,74,309,0,0,0,1,19.7,3.3,13.1,0.8,11,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Pear-Angel_Y2lkPTE0JnNpZD0zNiZyaWQ9NzYy.html
"
Pear Sunset,Beverages,Non Dairy-Based Drinks,64,268,0.1,0,0,2,16.7,2.6,11.6,0.4,8,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Pear-Sunset_Y2lkPTE0JnNpZD0zNiZyaWQ9NzYw.html
"
Strawberry Lemonade,Beverages,Non Dairy-Based Drinks,49,203,0.2,0,0,2,14.2,1.3,4.4,0.7,16,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Strawberry-Lemonade_Y2lkPTE0JnNpZD0zNiZyaWQ9Mzc5.html
"
Strawberry Limeade,Beverages,Non Dairy-Based Drinks,49,204,0.2,0,0,8,12.9,1.2,3.3,0.6,18,"https://www.calorieking.com/recipes/Beverages/Non-Dairy-Based-Drinks/Strawberry-Limeade_Y2lkPTE0JnNpZD0zNiZyaWQ9Mzk0.html
"
Sangria,International,Mexican/Spanish/Portuguese/Southwest,146,611,0.4,0.1,0,6,21,1,22,1,7,"https://www.calorieking.com/recipes/Beverages/Party-Drinks-and-Cocktails/Sangria_Y2lkPTE0JnNpZD0xMDUmcmlkPTU3NA.html
"
Watermelon Coconut Margarita,International,Mexican/Spanish/Portuguese/Southwest,234,958,5.8,4.7,0,7,33.8,2.8,25,2.5,29,"https://www.calorieking.com/recipes/Beverages/Party-Drinks-and-Cocktails/Watermelon-Coconut-Margarita_Y2lkPTE0JnNpZD0xMDUmcmlkPTc2Mw.html
"
Wild Berry Mojito,International,Polynesian/Pacific Rim and Caribbean,32,135,0.3,0,0,21,9,2.5,4,0.7,15,"https://www.calorieking.com/recipes/Beverages/Party-Drinks-and-Cocktails/Wild-Berry-Mojito_Y2lkPTE0JnNpZD0xMDUmcmlkPTc2MQ.html
"
Persimmon with Honeyed Yogurt,Desserts,Cold Desserts,153,638,0.3,0,0,23,34.1,5.1,25.5,6.9,81,"https://www.calorieking.com/recipes/Breakfasts/Breakfast-Smoothies-Fruit-and-Yogurt/Persimmon-with-Honeyed-Yogurt_Y2lkPTE1JnNpZD0xMTMmcmlkPTEwMTY.html
"
'Granola' Oatmeal Cereal,Breakfasts,"Cereals, Breads, Waffles",259,1084,12,1.5,0,214,30,4.5,1,7.7,21,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Granola-Oatmeal-Cereal_Y2lkPTE1JnNpZD00MyZyaWQ9NTI1.html
"
Apricot and Banana Jaffles,Breakfasts,"Cereals, Breads, Waffles",272,1138,5,2.2,10,242,51.4,4.1,13.3,8.3,128,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Apricot-and-Banana-Jaffles_Y2lkPTE1JnNpZD00MyZyaWQ9MTMy.html
"
Baked Oatmeal,Desserts,Warm Desserts,247,1030,8.2,2.5,9,136,38.4,3.3,16.9,7.7,158,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Baked-Oatmeal_Y2lkPTE1JnNpZD00MyZyaWQ9OTE3.html
"
Banana Oatmeal,Breakfasts,"Cereals, Breads, Waffles",214,960,0,0,0,70,41,5,5.5,7,59,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Banana-Oatmeal_Y2lkPTE1JnNpZD00MyZyaWQ9MTU2.html
"
Banana Toast,Breakfasts,"Cereals, Breads, Waffles",238,994,2.5,0.6,0,266,51.7,6.1,17.4,5.9,72,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Banana-Toast_Y2lkPTE1JnNpZD00MyZyaWQ9MjAx.html
"
Creamy Banana Walnut Oatmeal,Breakfasts,"Cereals, Breads, Waffles",373,1561,6.5,1.3,5,291,62.1,7.9,19.6,18.6,522,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Creamy-Banana-Walnut-Oatmeal_Y2lkPTE1JnNpZD00MyZyaWQ9Mzg5.html
"
French Toast,Breakfasts,"Cereals, Breads, Waffles",115,481,1,0,0,239,18.5,5,3,8,95,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/French-Toast_Y2lkPTE1JnNpZD00MyZyaWQ9NTEy.html
"
Fruity Cottage Waffles with Orange Cream,Breakfasts,"Cereals, Breads, Waffles",263,1098,9.8,5,20,521,32.3,2.5,14.9,12.4,111,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Fruity-Cottage-Waffles-with-Orange-Cream_Y2lkPTE1JnNpZD00MyZyaWQ9Nzg3.html
"
Hearty Apple and Cinnamon Oatmeal,Breakfasts,"Cereals, Breads, Waffles",256,1070,4.4,1.9,10,129,41.3,4.1,7.7,13.5,339,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Hearty-Apple-and-Cinnamon-Oatmeal_Y2lkPTE1JnNpZD00MyZyaWQ9MTMw.html
"
Monte Cristo French Toast,Breakfasts,"Cereals, Breads, Waffles",165,690,2.8,0.4,47,346,28.8,0.9,6.7,6.1,111,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Monte-Cristo-French-Toast_Y2lkPTE1JnNpZD00MyZyaWQ9OTQy.html
"
Overnight Oatmeal,Breakfasts,"Cereals, Breads, Waffles",296,1235,12.6,2.8,9,210,40,3.8,22.4,9.4,180,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Overnight-Oatmeal_Y2lkPTE1JnNpZD00MyZyaWQ9ODIw.html
"
Papaya and Ricotta Fruit Toast,Breakfasts,"Cereals, Breads, Waffles",179,748,2.8,0.8,8,191,35.5,1.4,20.5,5.1,65,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Papaya-and-Ricotta-Fruit-Toast_Y2lkPTE1JnNpZD00MyZyaWQ9OTg0.html
"
Pear Hawaiian French Toast,Breakfasts,"Cereals, Breads, Waffles",371,1553,12.6,2.7,94,479,56.3,4,21,10,74,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Pear-Hawaiian-French-Toast_Y2lkPTE1JnNpZD00MyZyaWQ9NzMz.html
"
Winter Porridge with Pears,Breakfasts,"Cereals, Breads, Waffles",238,994,3.7,0.8,2,56,40.2,5.1,12.1,11.2,139,"https://www.calorieking.com/recipes/Breakfasts/Cereals-Breads-Waffles/Winter-Porridge-with-Pears_Y2lkPTE1JnNpZD00MyZyaWQ9OTIy.html
"
Boris' Omelet,"Chicken, Turkey, Fowl and Egg",Egg Dishes,95,397,0.8,0.3,1,175,10.1,3,4.6,12.6,90,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Boris-Omelet_Y2lkPTE1JnNpZD0zOSZyaWQ9Mjg3.html
"
Cheddar Breakfast Squares,Breakfasts,"Cheese, Eggs, Protein Substitutes",172,720,6.2,3.8,14,334,12.4,1.3,4.9,17,304,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Cheddar-Breakfast-Squares_Y2lkPTE1JnNpZD0zOSZyaWQ9OTgx.html
"
Crock Pot Breakfast,Breakfasts,"Cheese, Eggs, Protein Substitutes",256,1069,3.5,1.2,34,1200,24.1,2.6,6.2,29.6,243,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Crock-Pot-Breakfast_Y2lkPTE1JnNpZD0zOSZyaWQ9OTQz.html
"
Easy Cheesy Apple Sweetie,Desserts,Cold Desserts,198,829,2.6,0,0,288,34,3.8,27,9.6,62.5,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Easy-Cheesy-Apple-Sweetie_Y2lkPTE1JnNpZD0zOSZyaWQ9NTE5.html
"
Fresh Garden Omelet,Vegetarian,Vegetarian Dishes,138,576,6.9,2.1,162,404,7.5,1.5,2.3,11.8,78,"https://www.calorieking.com/recipes/Breakfasts/Cheese-Eggs-Protein-Substitutes/Fresh-Garden-Omelet_Y2lkPTE1JnNpZD0zOSZyaWQ9Nzg2.html
"
