Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Grilled Beany Zucchini,Vegetarian,Vegetarian Dishes,240,1005,7,1,4,327,37,9,9.4,11,152,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Grilled-Beany-Zucchini_Y2lkPTEzJnNpZD0yNyZyaWQ9NTgx.html
"
Mushroom Medley with Spinach,Salads and Vegetables,Vegetable Dishes,44,184,1,0,0,111,6,1,2,3,42,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Mushroom-Medley-with-Spinach_Y2lkPTEzJnNpZD0yNyZyaWQ9NDMy.html
"
Potato and Broccoli Pie,Vegetarian,Vegetarian Dishes,240,1000,2,1,5,249,49,0.5,0.6,7.5,23,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Potato-and-Broccoli-Pie_Y2lkPTEzJnNpZD0yNyZyaWQ9Mjc0.html
"
Potato and Zucchini Layer,Salads and Vegetables,Vegetable Dishes,147,614,3.8,0.6,0,310,26.4,3.7,5.1,3.8,38,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Potato-and-Zucchini-Layer_Y2lkPTEzJnNpZD0yNyZyaWQ9Mjcx.html
"
Roasted Summer Vegetables,Salads and Vegetables,Vegetable Dishes,120,499,3.8,0.6,0,116,21.1,5.1,4.6,4.3,79,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Roasted-Summer-Vegetables_Y2lkPTEzJnNpZD0yNyZyaWQ9ODk0.html
"
Savory Baked Potatoes,Vegetarian,Vegetarian Dishes,126,527,2,0.5,2,206,21.4,1.7,1.7,6.3,57,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Savory-Baked-Potatoes_Y2lkPTEzJnNpZD0yNyZyaWQ9NDY.html
"
Savory Spinach,Salads and Vegetables,Vegetable Dishes,91,380,5.2,0.7,2,153,8.8,4.2,1.9,5.4,175,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Savory-Spinach_Y2lkPTEzJnNpZD0yNyZyaWQ9MTA0.html
"
Simple Potato and Tomato Bake,Vegetarian,Vegetarian Dishes,148,618,3.7,0.5,0,301,27,3,3.9,3.5,35,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Simple-Potato-and-Tomato-Bake_Y2lkPTEzJnNpZD0yNyZyaWQ9MjUx.html
"
Spaghetti Squash Primavera,Vegetarian,Vegetarian Dishes,110,461,3.8,0.5,0,114,20.2,4,7.7,2.3,76,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Spaghetti-Squash-Primavera_Y2lkPTEzJnNpZD0yNyZyaWQ9NDE1.html
"
Spaghetti Squash with Fresh Tomato Sauce,Vegetarian,Pasta,153,638,5.2,0.9,0,342,27.3,7.7,13.7,3.8,86,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Spaghetti-Squash-with-Fresh-Tomato-Sauce_Y2lkPTEzJnNpZD0yNyZyaWQ9ODE4.html
"
Spiced Carrots,Salads and Vegetables,Vegetable Dishes,29,121,1.6,0.2,0,119,3.6,1,1.5,0.4,15,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Spiced-Carrots_Y2lkPTEzJnNpZD0yNyZyaWQ9MjE1.html
"
Spinach and Yogurt Filled Baked Potatoes,Vegetarian,Appetizers and Snacks,299,1252,3,1,5,200,60,7,2,8,236,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Spinach-and-Yogurt-Filled-Baked-Potatoes_Y2lkPTEzJnNpZD0yNyZyaWQ9MTQz.html
"
Succotash,Vegetarian,Casseroles,113,473,0.2,0.6,0,159,22.5,5,4,4.7,31,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Succotash_Y2lkPTEzJnNpZD0yNyZyaWQ9NDEx.html
"
Sweet Potato and Beans in Sweet Chili,Salads and Vegetables,Vegetable Dishes,137,572,4,1.1,0,133,24.2,4.7,8.4,2.5,49,"https://www.calorieking.com/recipes/Salads-and-Vegetables/Vegetable-Dishes/Sweet-Potato-and-Beans-in-Sweet-Chili_Y2lkPTEzJnNpZD0yNyZyaWQ9MjMw.html
"
Avocado Dressing,"Sauces, Dressings, Condiments, Creams",Salad Dressings,35,145,2,0,0,10,2,0,1.6,2,35,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Salad-Dressings/Avocado-Dressing_Y2lkPTExJnNpZD0yOSZyaWQ9NTI.html
"
Lemon Garlic Dressing,"Sauces, Dressings, Condiments, Creams",Salad Dressings,105,440,11,0.8,0,58,1.4,0,0.4,0,3,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Salad-Dressings/Lemon-Garlic-Dressing_Y2lkPTExJnNpZD0yOSZyaWQ9NjE.html
"
Orange-Soy Vinaigrette,"Sauces, Dressings, Condiments, Creams",Salad Dressings,42,176,2.8,0.4,0,152,4.1,0.1,3,0.4,5,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Salad-Dressings/Orange-Soy-Vinaigrette_Y2lkPTExJnNpZD0yOSZyaWQ9NDc0.html
"
Ranch Dressing,"Sauces, Dressings, Condiments, Creams",Salad Dressings,22,92,1,0,0,58,2,0,1.3,1,37,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Salad-Dressings/Ranch-Dressing_Y2lkPTExJnNpZD0yOSZyaWQ9NTUy.html
"
Tofu Mayonnaise,Vegetarian,Dips and Spreads,75,314,6.7,0.5,0,45,1.5,0.3,0.3,2.6,38,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Salad-Dressings/Tofu-Mayonnaise_Y2lkPTExJnNpZD0yOSZyaWQ9NDg.html
"
Basil Salsa,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",34,142,3,0.3,0,3,3,1,1.4,1,24,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Basil-Salsa_Y2lkPTExJnNpZD0xNSZyaWQ9NzAy.html
"
Eggplant Yogurt Relish,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",100,418,2.8,0.3,0,431,17.5,6.1,8.3,3.6,72,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Eggplant-Yogurt-Relish_Y2lkPTExJnNpZD0xNSZyaWQ9Mjc.html
"
Mango Salsa,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",48,199,0.2,1,0,65,12.6,1.3,9.1,0.7,20.2,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Mango-Salsa_Y2lkPTExJnNpZD0xNSZyaWQ9ODMz.html
"
Mushroom Sauce,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",65,271,2,0.6,1,63,8.4,0.6,3.6,3.8,82,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Mushroom-Sauce_Y2lkPTExJnNpZD0xNSZyaWQ9MjY.html
"
Pear Sauce,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",80,335,0.2,0,0,1,21.3,4,14,0.5,11,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Pear-Sauce_Y2lkPTExJnNpZD0xNSZyaWQ9NDI2.html
"
Raisin Sauce,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",64,267,0.1,0,0,66,16.7,0.6,13.2,0.5,14,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Raisin-Sauce_Y2lkPTExJnNpZD0xNSZyaWQ9MzI0.html
"
Rich Brown Sauce,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",82,343,3,0.4,1,173,12,1,3.5,2,41,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Rich-Brown-Sauce_Y2lkPTExJnNpZD0xNSZyaWQ9MjM.html
"
Roasted Pepper and Banana Relish,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",164,687,4,0.7,0,188,34,5,19,2,18,"https://www.calorieking.com/recipes/Sauces-Dressings-Condiments-Creams/Sauces-Gravy-and-Condiments/Roasted-Pepper-and-Banana-Relish_Y2lkPTExJnNpZD0xNSZyaWQ9NDUy.html
"
Chilled Cantaloupe Soup,"Soup, Stew and Chili",Chilled Soup,69,289,0.4,0.4,0,16,16.2,1,14.2,1.4,19,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Chilled-Soup/Chilled-Cantaloupe-Soup_Y2lkPTEwJnNpZD0xMiZyaWQ9NzMx.html
"
Iced Cucumber and Mint Soup,"Soup, Stew and Chili",Chilled Soup,22,90,0.4,0.7,0,257,3.8,1.2,2,1.2,34,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Chilled-Soup/Iced-Cucumber-and-Mint-Soup_Y2lkPTEwJnNpZD0xMiZyaWQ9MTY.html
"
Tomato Soup,"Soup, Stew and Chili",Chilled Soup,110,461,4,0.8,1,36,17,4,10,3.7,72,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Chilled-Soup/Tomato-Soup_Y2lkPTEwJnNpZD0xMiZyaWQ9MzE3.html
"
Anita's Chicken Stew,"Soup, Stew and Chili","Warm Soup, Stew and Chili",96,402,1,0.2,23,385,11.7,4.5,7.1,12,90,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Anitas-Chicken-Stew_Y2lkPTEwJnNpZD0xMyZyaWQ9Nzc0.html
"
Apple Turkey Chili,"Soup, Stew and Chili","Warm Soup, Stew and Chili",280,1170,3,0.3,17,670,45,14,12,19,122,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Apple-Turkey-Chili_Y2lkPTEwJnNpZD0xMyZyaWQ9MTAyOQ.html
"
Chicken Soup with Rice Dumplings,"Soup, Stew and Chili","Warm Soup, Stew and Chili",156,652,0.4,0.1,0,990,30.6,1.7,1.5,7.3,300,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Chicken-Soup-with-Rice-Dumplings_Y2lkPTEwJnNpZD0xMyZyaWQ9MTM4.html
"
"Chicken, Corn and Swiss Chard Soup","Soup, Stew and Chili","Warm Soup, Stew and Chili",244,1021,1.5,0.3,44,1002,32.2,2.1,19.4,27,49,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Chicken-Corn-and-Swiss-Chard-Soup_Y2lkPTEwJnNpZD0xMyZyaWQ9MTIy.html
"
"Chickpea, Pumpkin and Collard Stew","Soup, Stew and Chili","Warm Soup, Stew and Chili",138,578,3.5,0.5,0,423,24,4.9,2.2,5.3,96,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Chickpea-Pumpkin-and-Collard-Stew_Y2lkPTEwJnNpZD0xMyZyaWQ9ODQx.html
"
Chunky Vegetable Chowder,"Soup, Stew and Chili","Warm Soup, Stew and Chili",227,951,3.5,0.6,0,435,44.3,6.5,8.3,9.3,117,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Chunky-Vegetable-Chowder_Y2lkPTEwJnNpZD0xMyZyaWQ9MTk.html
"
Cream of Mushroom Soup - Without the Cream,"Soup, Stew and Chili","Warm Soup, Stew and Chili",175,730,4.1,1.6,5,195,27.2,2.9,7.8,6.8,94,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Cream-of-Mushroom-Soup-Without-the-Cream_Y2lkPTEwJnNpZD0xMyZyaWQ9MjY5.html
"
Cream of Potato and Leek Soup,"Soup, Stew and Chili","Warm Soup, Stew and Chili",120,503,3.6,1.8,14,63,18.4,1.4,6.1,4.2,140,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Cream-of-Potato-and-Leek-Soup_Y2lkPTEwJnNpZD0xMyZyaWQ9MTM2.html
"
Creamy Carrot Soup,"Soup, Stew and Chili","Warm Soup, Stew and Chili",126,526,2.3,0.2,0,622,22.1,5.1,10.2,3.1,135,"https://www.calorieking.com/recipes/Soup-Stew-and-Chili/Warm-Soup-Stew-and-Chili/Creamy-Carrot-Soup_Y2lkPTEwJnNpZD0xMyZyaWQ9MTg.html
"
